jam_old,jam_new,fp_old,fp_new,fpBouch_old,fpBouch_new,gbr_old,gbr_new,gbr96_old,gbr96_new
RB_7m_1977,1-7m,Inner Flat,NA,Crest,NA,1. Flat,1-7m,1,1-7m
RB_7m_1978,1-7m,Outer Flat,1-7m,Mid slope,15-30m,2. Crest,NA,2,NA
RB_7m_1979,1-7m,Crest,NA,Outer Flat,1-7m,3. Slope,7-15m,3,7-15m
RB_7m_1980,1-7m,Shallow slope,7-15m,Shallow slope,7-15m,4. Base,15-30m,4,15-30m
RB_7m_1981,1-7m,Mid slope,15-30m,,,,,,
RB_7m_1982,1-7m,Deep slope,30m+,,,,,,
RB_7m_1983,1-7m,,,,,,,,
RB_7m_1984,1-7m,,,,,,,,
RB_7m_1985,1-7m,,,,,,,,
RB_7m_1986,1-7m,,,,,,,,
RB_7m_1987,1-7m,,,,,,,,
RB_7m_1988,1-7m,,,,,,,,
RB_7m_1989,1-7m,,,,,,,,
RB_7m_1990,1-7m,,,,,,,,
RB_7m_1993,1-7m,,,,,,,,
RB_7m_2013,1-7m,,,,,,,,
RB_10m_1977,7-15m,,,,,,,,
RB_10m_1978,7-15m,,,,,,,,
RB_10m_1979,7-15m,,,,,,,,
RB_10m_1980,7-15m,,,,,,,,
RB_10m_1981,7-15m,,,,,,,,
RB_10m_1982,7-15m,,,,,,,,
RB_10m_1983,7-15m,,,,,,,,
RB_10m_1984,7-15m,,,,,,,,
RB_10m_1985,7-15m,,,,,,,,
RB_10m_1986,7-15m,,,,,,,,
RB_10m_1987,7-15m,,,,,,,,
RB_10m_1988,7-15m,,,,,,,,
RB_10m_1989,7-15m,,,,,,,,
RB_10m_1990,7-15m,,,,,,,,
RB_10m_1993,7-15m,,,,,,,,
RB_10m_2013,7-15m,,,,,,,,
RB_15m_1977,7-15m,,,,,,,,
RB_15m_1978,7-15m,,,,,,,,
RB_15m_1979,7-15m,,,,,,,,
RB_15m_1980,15-30m,,,,,,,,
RB_15m_1981,15-30m,,,,,,,,
RB_15m_1982,15-30m,,,,,,,,
RB_15m_1983,15-30m,,,,,,,,
RB_15m_1984,15-30m,,,,,,,,
RB_15m_1985,15-30m,,,,,,,,
RB_15m_1986,15-30m,,,,,,,,
RB_15m_1987,15-30m,,,,,,,,
RB_15m_1988,15-30m,,,,,,,,
RB_15m_1989,15-30m,,,,,,,,
RB_15m_1990,15-30m,,,,,,,,
RB_15m_1993,15-30m,,,,,,,,
RB_15m_2013,15-30m,,,,,,,,
p1_30m_1977,30m+,,,,,,,,
p1_30m_1978,30m+,,,,,,,,
p1_30m_1979,30m+,,,,,,,,
p1_30m_1980,30m+,,,,,,,,
p1_30m_1981,30m+,,,,,,,,
p1_30m_1982,30m+,,,,,,,,
p1_30m_1983,30m+,,,,,,,,
p1_30m_1985,30m+,,,,,,,,
p1_30m_1986,30m+,,,,,,,,
p1_30m_1987,30m+,,,,,,,,
p1_30m_1988,30m+,,,,,,,,
p1_30m_1989,30m+,,,,,,,,
p1_30m_1990,30m+,,,,,,,,
p1_30m_1993,30m+,,,,,,,,
p1_30m_2013,30m+,,,,,,,,